id,jumpType,name,nameKey,descriptionKey,category,procedureId,minScore,maxScore,scoreRuleType,minValueRange,avgValueRange,maxValueRange,result,score
STD_EVAL_FallTime,STANDARD,FallTime,Fall Time,,value,none,0,0,none,none,none,none,,
STD_EVAL_TotalDistance,STANDARD,TotalDistance,Total Distance,,value,none,0,0,none,none,none,none,,
STD_EVAL_AltimeterOn,STANDARD,AltimeterOn,Altimeter On,,procedure,STD_TL02_PR01,0,10,fixed,none,none,none,,
STD_EVAL_HelmetOn,STANDARD,HelmetOn,Helmet On,,procedure,STD_TL02_PR02,0,10,fixed,none,none,none,,
STD_EVAL_SitDownComplete,STANDARD,SitDownComplete,Sit Down Complete,,procedure,STD_TL03_PR01,0,5,fixed,none,none,none,,
STD_EVAL_StandUpComplete,STANDARD,StandUpComplete,Stand Up Complete,,procedure,STD_TL04_PR02,0,5,fixed,none,none,none,,
STD_EVAL_HookUpComplete,STANDARD,HookUpComplete,Hook Up Complete,,procedure,STD_TL04_PR03,0,15,fixed,none,none,none,,
STD_EVAL_GoJumpComplete,STANDARD,GoJumpComplete,Go Jump Complete,,procedure,STD_TL05_PR02,0,10,fixed,none,none,none,,
STD_EVAL_EventComplete,STANDARD,EventComplete,Event Complete,,incident,none,0,30,fixed,none,none,none,,
STD_EVAL_LandingType,STANDARD,LandingType,Landing Type,,landingType,none,0,0,none,none,none,none,,
STD_EVAL_TargetDistance,STANDARD,TargetDistance,Target Distance,,value,none,15,30,range,0,200,400,,
STD_EVAL_FlareComplete,STANDARD,FlareComplete,Flare Complete,,incident,none,0,30,fixed,none,none,none,,
STD_EVAL_LandingSpeed,STANDARD,LandingSpeed,Landing Speed,,value,none,0,0,none,none,none,none,,
HAHO_EVAL_FallTime,HAHO,FallTime,Fall Time,,value,none,0,0,none,none,none,none,,
HAHO_EVAL_TotalDistance,HAHO,TotalDistance,Total Distance,,value,none,0,0,none,none,none,none,,
HAHO_EVAL_AltimeterOn,HAHO,AltimeterOn,Altimeter On,,procedure,HAHO_TL02_PR01,0,10,fixed,none,none,none,,
HAHO_EVAL_HelmetOn,HAHO,HelmetOn,Helmet On,,procedure,HAHO_TL02_PR02,0,10,fixed,none,none,none,,
HAHO_EVAL_OxyMask,HAHO,OxyMask,Oxy Mask,,procedure,HAHO_TL02_PR03,0,10,fixed,none,none,none,,
HAHO_EVAL_SitDownComplete,HAHO,SitDownComplete,Sit Down Complete,,procedure,HAHO_TL03_PR01,0,5,fixed,none,none,none,,
HAHO_EVAL_StandUpComplete,HAHO,StandUpComplete,Stand Up Complete,,procedure,HAHO_TL04_PR02,0,5,fixed,none,none,none,,
HAHO_EVAL_GoJumpComplete,HAHO,GoJumpComplete,Go Jump Complete,,procedure,HAHO_TL05_PR02,0,10,fixed,none,none,none,,
HAHO_EVAL_DeployAltitude,HAHO,DeployAltitude,Deploy Altitude,,value,none,15,30,range,6000,9000,10000,,
HAHO_EVAL_DeployTargetDistance,HAHO,DeployTargetDistance,Deploy Target Distance,,value,none,0,0,none,none,none,none,,
HAHO_EVAL_EventComplete,HAHO,EventComplete,Event Complete,,incident,none,0,30,fixed,none,none,none,,
HAHO_EVAL_LandingType,HAHO,LandingType,Landing Type,,landingType,none,0,0,none,none,none,none,,
HAHO_EVAL_TargetDistance,HAHO,TargetDistance,Target Distance,,value,none,15,30,range,0,200,400,,
HAHO_EVAL_FlareComplete,HAHO,FlareComplete,Flare Complete,,incident,none,0,30,fixed,none,none,none,,
HAHO_EVAL_LandingSpeed,HAHO,LandingSpeed,Landing Speed,,value,none,0,0,none,none,none,none,,
HALO_EVAL_FallTime,HALO,FallTime,Fall Time,,value,none,0,0,none,none,none,none,,
HALO_EVAL_TotalDistance,HALO,TotalDistance,Total Distance,,value,none,0,0,none,none,none,none,,
HALO_EVAL_AltimeterOn,HALO,AltimeterOn,Altimeter On,,procedure,HALO_TL02_PR01,0,10,fixed,none,none,none,,
HALO_EVAL_HelmetOn,HALO,HelmetOn,Helmet On,,procedure,HALO_TL02_PR02,0,10,fixed,none,none,none,,
HALO_EVAL_OxyMask,HALO,OxyMask,Oxy Mask,,procedure,HALO_TL02_PR03,0,10,fixed,none,none,none,,
HALO_EVAL_SitDownComplete,HALO,SitDownComplete,Sit Down Complete,,procedure,HALO_TL03_PR01,0,5,fixed,none,none,none,,
HALO_EVAL_StandUpComplete,HALO,StandUpComplete,Stand Up Complete,,procedure,HALO_TL04_PR02,0,5,fixed,none,none,none,,
HALO_EVAL_GoJumpComplete,HALO,GoJumpComplete,Go Jump Complete,,procedure,HALO_TL05_PR02,0,10,fixed,none,none,none,,
HALO_EVAL_DeployAltitude,HALO,DeployAltitude,Deploy Altitude,,value,none,15,30,range,600,1000,1500,,
HALO_EVAL_DeployTargetDistance,HALO,DeployTargetDistance,Deploy Target Distance,,value,none,0,0,none,none,none,none,,
HALO_EVAL_EventComplete,HALO,EventComplete,Event Complete,,incident,none,0,30,fixed,none,none,none,,
HALO_EVAL_LandingType,HALO,LandingType,Landing Type,,landingType,none,0,0,none,none,none,none,,
HALO_EVAL_TargetDistance,HALO,TargetDistance,Target Distance,,value,none,15,30,range,0,200,400,,
HALO_EVAL_FlareComplete,HALO,FlareComplete,Flare Complete,,incident,none,0,30,fixed,none,none,none,,
HALO_EVAL_LandingSpeed,HALO,LandingSpeed,Landing Speed,,value,none,0,0,none,none,none,none,,
